"Salaire mensuel brut selon le domaine d'activité"

"Année","Grande région","Domaine d'activité","Niveau de qualification","Homme","Femme"
"2010","Zurich (ZH)","Expertises, conseils, vente","Niveau de qualification - Total",10400,7315
"2010","Zurich (ZH)","Achat et vente de produits de base et d'équipement","Niveau de qualification - Total",8591,6733
"2010","Zurich (ZH)","Vente de biens de consommation, vente au détail","Niveau de qualification - Total",5663,4430
"2010","Zurich (ZH)","Recherche et développement","Niveau de qualification - Total",9171,7635
"2010","Zurich (ZH)","Analyse, programmation, 'operating'","Niveau de qualification - Total",9603,7555
"2010","Zurich (ZH)","Planifier, construire, réaliser, dessiner","Niveau de qualification - Total",7714,6010
"2010","Zurich (ZH)","Transp. de personnes et de marchandises, communications","Niveau de qualification - Total",5598,4764
"2010","Zurich (ZH)","Services de sécurité, de surveillance","Niveau de qualification - Total",7087,4846
"2010","Zurich (ZH)","Activités médicales, sociales et dans le domaine des soins","Niveau de qualification - Total",7236,6281
"2010","Zurich (ZH)","Soins corporels, nettoyage des vêtements","Niveau de qualification - Total",4307,3714
"2010","Zurich (ZH)","Nettoyage et hygiène publique","Niveau de qualification - Total",4650,3508
"2010","Zurich (ZH)","Activités pédagogiques","Niveau de qualification - Total",8017,6585
"2010","Zurich (ZH)","Activités de l'hôtellerie-restauration, économie domestique","Niveau de qualification - Total",4458,4270
"2010","Zurich (ZH)","Culture, information, sport, loisirs et divertissements","Niveau de qualification - Total",8254,7127
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau de qualification - Total",5633,4225
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Fabrication et transformation de produits","Niveau de qualification - Total",5484,4160
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Activités de la construction","Niveau de qualification - Total",5614,4788
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Mise en service, réglage et maintenance de machines","Niveau de qualification - Total",5935,4398
