"Année","Grande région","Domaine d'activité","Niveau de qualification","Homme","Femme"
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Restauration, arts manuels","Niveau 4",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","SERVICES","Niveau 1+2",7796,5556
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","SERVICES","Niveau 3",5635,4545
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","SERVICES","Niveau 4",4361,3905
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Définition des buts et de la stratégie de l'entreprise","Niveau 1+2",10244,7494
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Définition des buts et de la stratégie de l'entreprise","Niveau 3",7216,5941
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Définition des buts et de la stratégie de l'entreprise","Niveau 4",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Comptabilité, gestion du personnel","Niveau 1+2",8293,5915
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Comptabilité, gestion du personnel","Niveau 3",6397,5272
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Comptabilité, gestion du personnel","Niveau 4",5166,4480
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Secrétariat, travaux de chancellerie","Niveau 1+2",6931,5220
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Secrétariat, travaux de chancellerie","Niveau 3",6156,5020
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Secrétariat, travaux de chancellerie","Niveau 4",5200,4988
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Autres activités commerciales et administratives","Niveau 1+2",7273,5445
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Autres activités commerciales et administratives","Niveau 3",6064,5145
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Autres activités commerciales et administratives","Niveau 4",5012,4550
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Logistique, tâches d'état-major","Niveau 1+2",8125,7111
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Logistique, tâches d'état-major","Niveau 3",6976,6036
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Logistique, tâches d'état-major","Niveau 4",4841,4820
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Expertises, conseils, vente","Niveau 1+2",8829,6900
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Expertises, conseils, vente","Niveau 3",6923,5353
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Expertises, conseils, vente","Niveau 4",4850,4982
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Achat et vente de produits de base et d'équipement","Niveau 1+2",7771,6373
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Achat et vente de produits de base et d'équipement","Niveau 3",6283,4707
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Achat et vente de produits de base et d'équipement","Niveau 4",4224,4105
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Vente de biens de consommation, vente au détail","Niveau 1+2",6628,4097
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Vente de biens de consommation, vente au détail","Niveau 3",5098,3889
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Vente de biens de consommation, vente au détail","Niveau 4",4121,3799
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Recherche et développement","Niveau 1+2",8026,7317
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Recherche et développement","Niveau 3",6604,5635
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Recherche et développement","Niveau 4",X,5119
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Analyse, programmation, 'operating'","Niveau 1+2",8354,6666
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Analyse, programmation, 'operating'","Niveau 3",6314,5333
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Analyse, programmation, 'operating'","Niveau 4",5702,5330
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Planifier, construire, réaliser, dessiner","Niveau 1+2",7010,4865
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Planifier, construire, réaliser, dessiner","Niveau 3",6214,5014
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Planifier, construire, réaliser, dessiner","Niveau 4",4930,4083
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Transp. de personnes et de marchandises, communications","Niveau 1+2",4945,4843
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Transp. de personnes et de marchandises, communications","Niveau 3",5152,4349
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Transp. de personnes et de marchandises, communications","Niveau 4",4694,4008
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Services de sécurité, de surveillance","Niveau 1+2",7913,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Services de sécurité, de surveillance","Niveau 3",5479,4362
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Services de sécurité, de surveillance","Niveau 4",4333,4403
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités médicales, sociales et dans le domaine des soins","Niveau 1+2",6902,6024
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités médicales, sociales et dans le domaine des soins","Niveau 3",5705,5167
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités médicales, sociales et dans le domaine des soins","Niveau 4",4659,4333
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Soins corporels, nettoyage des vétements","Niveau 1+2",X,3405
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Soins corporels, nettoyage des vétements","Niveau 3",X,3160
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Soins corporels, nettoyage des vétements","Niveau 4",X,3456
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Nettoyage et hygiéne publique","Niveau 1+2",5101,4120
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Nettoyage et hygiéne publique","Niveau 3",4489,3033( )
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Nettoyage et hygiéne publique","Niveau 4",4000,3776
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités pédagogiques","Niveau 1+2",7457,6369
