"Année","Grande région","Classe de salaires nets","Taux d'occupation","Homme","Femme"
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","6001-  7000 francs","Plein temps (>= 90%)",12.0,3.8
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","6001-  7000 francs","Temps partiel (< 90%)",2.4,0.5
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","7001-  8000 francs","Plein temps (>= 90%)",5.9,1.6
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","7001-  8000 francs","Temps partiel (< 90%)",0.9,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","8001-  9000 francs","Plein temps (>= 90%)",3.4,0.7
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","8001-  9000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","9001-10000 francs","Plein temps (>= 90%)",2.1,0.3
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","9001-10000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","10001-11000 francs","Plein temps (>= 90%)",1.2,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","11001-12000 francs","Plein temps (>= 90%)",0.7,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","11001-12000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","12001-13000 francs","Plein temps (>= 90%)",0.4,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","12001-13000 francs","Temps partiel (< 90%)",*,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","13001-14000 francs","Plein temps (>= 90%)",0.2,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","13001-14000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","14001-15000 francs","Plein temps (>= 90%)",0.3,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","14001-15000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","15001-16000 francs","Plein temps (>= 90%)",0.1,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","15001-16000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","16001-17000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","16001-17000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","17001-18000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","17001-18000 francs","Temps partiel (< 90%)",*,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","18001-19000 francs","Plein temps (>= 90%)",0.0,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","18001-19000 francs","Temps partiel (< 90%)",*,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","19001-20000 francs","Plein temps (>= 90%)",X,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","19001-20000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","20001+ francs","Plein temps (>= 90%)",0.3,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","20001+ francs","Temps partiel (< 90%)",X,*
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","0-  1000 francs","Temps partiel (< 90%)",22.5,27.1
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","1001-  2000 francs","Plein temps (>= 90%)",X,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","1001-  2000 francs","Temps partiel (< 90%)",16.6,28.2
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","2001-  3000 francs","Plein temps (>= 90%)",1.6,10.2
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","2001-  3000 francs","Temps partiel (< 90%)",17.9,23.1
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","3001-  4000 francs","Plein temps (>= 90%)",12.2,39.6
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","3001-  4000 francs","Temps partiel (< 90%)",18.6,12.2
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","4001-  5000 francs","Plein temps (>= 90%)",31.8,25.2
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","4001-  5000 francs","Temps partiel (< 90%)",11.9,5.8
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","5001-  6000 francs","Plein temps (>= 90%)",21.9,12.9
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","5001-  6000 francs","Temps partiel (< 90%)",6.2,2.2
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","6001-  7000 francs","Plein temps (>= 90%)",12.6,6.0
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","6001-  7000 francs","Temps partiel (< 90%)",2.7,0.6
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","7001-  8000 francs","Plein temps (>= 90%)",7.0,2.5
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","7001-  8000 francs","Temps partiel (< 90%)",1.3,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","8001-  9000 francs","Plein temps (>= 90%)",4.0,1.2
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","8001-  9000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","9001-10000 francs","Plein temps (>= 90%)",2.6,0.7
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","9001-10000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","10001-11000 francs","Plein temps (>= 90%)",1.5,0.3
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","11001-12000 francs","Plein temps (>= 90%)",1.1,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","12001-13000 francs","Plein temps (>= 90%)",0.7,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","13001-14000 francs","Plein temps (>= 90%)",0.4,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","13001-14000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","14001-15000 francs","Plein temps (>= 90%)",0.4,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","14001-15000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","15001-16000 francs","Plein temps (>= 90%)",0.2,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","16001-17000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","16001-17000 francs","Temps partiel (< 90%)",*,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","17001-18000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","17001-18000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","18001-19000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","18001-19000 francs","Temps partiel (< 90%)",*,*
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","19001-20000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","19001-20000 francs","Temps partiel (< 90%)",*,*
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","20001+ francs","Plein temps (>= 90%)",0.7,X
