"Année","Grande région","Formation","Position professionnelle","Homme Médiane","Femme Médiane"
"2004","Région lémanique (VD, VS, GE)","Autres formations complètes","Position professionnelle - Total",5007,4063
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10000,7843
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8659,7040
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7499,6392
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Brevet d'enseignement","Position professionnelle - Total",7453,5823
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Maturité","Position professionnelle - Total",6212,4875
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Apprentissage complet (CFC)","Position professionnelle - Total",5577,4774
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Formation acquise en entreprise","Position professionnelle - Total",5200,4053
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Sans formation prof. complète","Position professionnelle - Total",4615,3860
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Autres formations complètes","Position professionnelle - Total",4875,3854
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10080,8612
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8898,7118
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7692,6712
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Brevet d'enseignement","Position professionnelle - Total",6994,6077
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Maturité","Position professionnelle - Total",7029,5953
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Apprentissage complet (CFC)","Position professionnelle - Total",5843,5053
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Formation acquise en entreprise","Position professionnelle - Total",5357,4275
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Sans formation prof. complète","Position professionnelle - Total",4745,3857
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Autres formations complètes","Position professionnelle - Total",5159,4124
"2004","Zurich (ZH)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10317,8095
"2004","Zurich (ZH)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9451,7480
"2004","Zurich (ZH)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",8530,7007
"2004","Zurich (ZH)","Brevet d'enseignement","Position professionnelle - Total",7967,6571
"2004","Zurich (ZH)","Maturité","Position professionnelle - Total",7503,5688
"2004","Zurich (ZH)","Apprentissage complet (CFC)","Position professionnelle - Total",6154,5222
"2004","Zurich (ZH)","Formation acquise en entreprise","Position professionnelle - Total",5205,4101
"2004","Zurich (ZH)","Sans formation prof. complète","Position professionnelle - Total",4841,4022
"2004","Zurich (ZH)","Autres formations complètes","Position professionnelle - Total",5069,4118
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",9842,7583
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8575,6950
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7465,6207
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Brevet d'enseignement","Position professionnelle - Total",7093,6557
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Maturité","Position professionnelle - Total",6128,4842
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Apprentissage complet (CFC)","Position professionnelle - Total",5557,4534
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation acquise en entreprise","Position professionnelle - Total",5133,3967
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Sans formation prof. complète","Position professionnelle - Total",4679,3673
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Autres formations complètes","Position professionnelle - Total",4708,3674
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10776,8309
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8976,7279
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7641,6692
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Brevet d'enseignement","Position professionnelle - Total",7600,6416
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Maturité","Position professionnelle - Total",6242,4824
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Apprentissage complet (CFC)","Position professionnelle - Total",5595,4744
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation acquise en entreprise","Position professionnelle - Total",5395,3990
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Sans formation prof. complète","Position professionnelle - Total",4685,3766
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Autres formations complètes","Position professionnelle - Total",4712,3568
"2004","Tessin (TI)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",9000,6266
"2004","Tessin (TI)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",7342,6190
"2004","Tessin (TI)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",6257,5302
"2004","Tessin (TI)","Brevet d'enseignement","Position professionnelle - Total",6283,5329
"2004","Tessin (TI)","Maturité","Position professionnelle - Total",5989,4834
"2004","Tessin (TI)","Apprentissage complet (CFC)","Position professionnelle - Total",5189,4550
"2004","Tessin (TI)","Formation acquise en entreprise","Position professionnelle - Total",4694,3368
"2004","Tessin (TI)","Sans formation prof. complète","Position professionnelle - Total",4243,3034
"2004","Tessin (TI)","Autres formations complètes","Position professionnelle - Total",4746,3568
"2006","Région lémanique (VD, VS, GE)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10678,8201
"2006","Région lémanique (VD, VS, GE)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8720,7430
"2006","Région lémanique (VD, VS, GE)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7891,6534
"2006","Région lémanique (VD, VS, GE)","Brevet d'enseignement","Position professionnelle - Total",6076,5734
"2006","Région lémanique (VD, VS, GE)","Maturité","Position professionnelle - Total",7278,6270
"2006","Région lémanique (VD, VS, GE)","Apprentissage complet (CFC)","Position professionnelle - Total",5744,5108
"2006","Région lémanique (VD, VS, GE)","Formation acquise en entreprise","Position professionnelle - Total",5202,4198
"2006","Région lémanique (VD, VS, GE)","Sans formation prof. complète","Position professionnelle - Total",4623,3767
"2006","Région lémanique (VD, VS, GE)","Autres formations complètes","Position professionnelle - Total",5565,4976
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10196,7908
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8883,6973
