Année,Grande région,Domaine d'activité,Homme,Femme
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",Recherche et développement,8896,6471
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Analyse, programmation, 'operating'",8564,7100
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Planifier, construire, réaliser, dessiner",7220,5803
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Transp. de personnes et de marchandises, communications",5248,4612
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Services de sécurité, de surveillance",8225,6324
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Activités médicales, sociales et dans le domaine des soins",7077,5636
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Soins corporels, nettoyage des vêtements",,3691
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",Nettoyage et hygiène publique,4787,4210
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",Activités pédagogiques,8562,6965
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Activités de l'hôtellerie-restauration, économie domestique",4419,4168
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Culture, information, sport, loisirs et divertissements",6191,5688
2010,Tessin (TI),ACTIVITES PROCHES DE LA PRODUCTION,5286,2991
2010,Tessin (TI),Fabrication et transformation de produits,4678,2934
2010,Tessin (TI),Activités de la construction,5588,
2010,Tessin (TI),"Mise en service, réglage et maintenance de machines",5608,5042
2010,Tessin (TI),"Restauration, arts manuels",,
2010,Tessin (TI),SERVICES,5793,4605
2010,Tessin (TI),Définition des buts et de la stratégie de l'entreprise,11112,8883
2010,Tessin (TI),"Comptabilité, gestion du personnel",7222,5416
2010,Tessin (TI),"Secrétariat, travaux de chancellerie",5365,4800
2010,Tessin (TI),Autres activités commerciales et administratives,6455,4995
2010,Tessin (TI),"Logistique, tâches d'état-major",5916,4414
2010,Tessin (TI),"Expertises, conseils, vente",8095,5945
2010,Tessin (TI),Achat et vente de produits de base et d'équipement,6627,4843
2010,Tessin (TI),"Vente de biens de consommation, vente au détail",4643,4038
2010,Tessin (TI),Recherche et développement,6663,5674
2010,Tessin (TI),"Analyse, programmation, 'operating'",7160,5674
2010,Tessin (TI),"Planifier, construire, réaliser, dessiner",6338,5244
2010,Tessin (TI),"Transp. de personnes et de marchandises, communications",4901,4690
2010,Tessin (TI),"Services de sécurité, de surveillance",7054,5393
2010,Tessin (TI),"Activités médicales, sociales et dans le domaine des soins",6625,5520
2010,Tessin (TI),"Soins corporels, nettoyage des vêtements",,3256
2010,Tessin (TI),Nettoyage et hygiène publique,3800,3467
2010,Tessin (TI),Activités pédagogiques,7302,6500
2010,Tessin (TI),"Activités de l'hôtellerie-restauration, économie domestique",4122,3675
2010,Tessin (TI),"Culture, information, sport, loisirs et divertissements",6379,5363
