"Année","Grande région","Nationalité / Autorisation de résidence","Niveau de qualification","Homme Médiane","Femme Médiane"
"2008","Tessin (TI)","Suisses/étrangers - Total","Niveau 3",5359,4767
"2008","Tessin (TI)","Suisses/étrangers - Total","Niveau 4",4399,3467
"2010","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 1+2",8585,7445
"2010","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 3",6222,5768
"2010","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 4",5008,4342
"2010","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 1+2",7820,6462
"2010","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 3",5919,5171
"2010","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 4",5041,4335
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 1+2",8345,6877
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 3",6067,5417
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 4",4952,4254
"2010","Zurich (ZH)","Suisses/étrangers - Total","Niveau 1+2",9271,7204
"2010","Zurich (ZH)","Suisses/étrangers - Total","Niveau 3",6157,5285
"2010","Zurich (ZH)","Suisses/étrangers - Total","Niveau 4",4890,4248
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 1+2",7293,5913
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 3",5618,4820
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 4",4806,4079
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 1+2",7837,6411
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 3",5830,5105
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 4",4981,4276
"2010","Tessin (TI)","Suisses/étrangers - Total","Niveau 1+2",6630,5639
"2010","Tessin (TI)","Suisses/étrangers - Total","Niveau 3",5506,4748
"2010","Tessin (TI)","Suisses/étrangers - Total","Niveau 4",4442,3490
